transaction_id,account_id,destino_id,tipo,valor,data_hora,canal
TRX0000001,ACC00004,ACC00032,PIX,2253.1,2026-04-16T06:45:37,APP
TRX0000002,ACC00095,,SAQUE,568.74,2026-04-25T21:21:37,APP
TRX0000003,ACC00012,,BOLETO,1431.51,2026-04-10T21:56:37,APP
TRX0000004,ACC00028,ACC00078,PIX,60.87,2026-05-07T02:16:37,INTERNET_BANKING
TRX0000005,ACC00026,ACC00090,PIX,191.89,2026-04-20T08:19:37,APP
TRX0000006,ACC00029,,BOLETO,1853.2,2026-03-06T17:01:37,INTERNET_BANKING
TRX0000007,ACC00001,,CARTAO,178.74,2026-03-16T04:22:37,APP
TRX0000008,ACC00044,,CARTAO,1476.69,2026-04-27T16:05:37,APP
TRX0000009,ACC00044,,BOLETO,1128.25,2026-05-07T12:20:37,APP
TRX0000010,ACC00109,,BOLETO,259.2,2026-04-04T11:35:37,APP
TRX0000011,ACC00094,ACC00016,PIX,420.64,2026-05-17T23:29:37,ATM
TRX0000012,ACC00049,,SAQUE,1860.86,2026-04-26T01:00:37,APP
TRX0000013,ACC00080,,BOLETO,1699.26,2026-05-14T15:43:37,APP
TRX0000014,ACC00091,ACC00085,PIX,2522.01,2026-03-23T15:43:37,ATM
TRX0000015,ACC00038,,CARTAO,338.25,2026-03-12T12:17:37,APP
TRX0000016,ACC00013,,BOLETO,481.03,2026-04-20T22:19:37,APP
TRX0000017,ACC00047,,SAQUE,654.04,2026-04-23T15:00:37,APP
TRX0000018,ACC00035,ACC00088,PIX,180.24,2026-04-11T23:34:37,ATM
TRX0000019,ACC00078,,BOLETO,6150.12,2026-05-30T02:17:37,INTERNET_BANKING
TRX0000020,ACC00021,ACC00035,PIX,1145.75,2026-04-26T09:34:37,APP
TRX0000021,ACC00082,ACC00029,TED,583.36,2026-04-19T10:45:37,APP
TRX0000022,ACC00108,,DEPOSITO,1284.64,2026-03-17T23:44:37,ATM
TRX0000023,ACC00005,ACC00052,PIX,242.95,2026-03-03T08:10:37,APP
TRX0000024,ACC00028,,BOLETO,192.39,2026-03-28T23:47:37,APP
TRX0000025,ACC00041,ACC00064,PIX,1263.21,2026-03-08T22:28:37,CAIXA
TRX0000026,ACC00118,,SAQUE,911.01,2026-05-27T21:36:37,APP
TRX0000027,ACC00032,,BOLETO,205.02,2026-04-09T19:34:37,APP
TRX0000028,ACC00075,ACC00075,TED,895.29,2026-03-15T04:08:37,INTERNET_BANKING
TRX0000029,ACC00029,,BOLETO,913.28,2026-05-20T19:23:37,INTERNET_BANKING
TRX0000030,ACC00012,ACC00111,PIX,1848.03,2026-05-22T14:12:37,INTERNET_BANKING
TRX0000031,ACC00081,,CARTAO,444.56,2026-03-16T15:12:37,APP
TRX0000032,ACC00009,,BOLETO,598.44,2026-03-29T09:11:37,INTERNET_BANKING
TRX0000033,ACC00068,,DEPOSITO,936.1,2026-04-07T21:12:37,APP
TRX0000034,ACC00002,,BOLETO,1282.98,2026-04-01T11:35:37,APP
TRX0000035,ACC00069,,BOLETO,1521.05,2026-05-19T09:05:37,INTERNET_BANKING
TRX0000036,ACC00015,ACC00021,PIX,2496.2,2026-04-07T19:33:37,ATM
TRX0000037,ACC00093,ACC00034,TED,2386.72,2026-04-16T14:13:37,APP
TRX0000038,ACC00098,ACC00117,PIX,1385.42,2026-03-25T10:18:37,INTERNET_BANKING
